season,home_team,league,event_type,game_id,event_id,balls,strikes,outs,runner_1b,runner_2b,runner_3b,post_outs,post_runner_1b,post_runner_2b,post_runner_3b,is_pa,event_runs,is_sb,is_cs
2016,PIT,NL,Stolen Base 2B,448951,122,2,2,0,1,0,0,0,0,1,0,0,0,1,0
2016,PIT,NL,Single,448951,258,2,2,1,1,0,0,1,1,0,1,1,0,0,0
2016,PIT,NL,Strikeout - DP,448951,411,3,2,1,1,0,0,3,0,0,0,1,0,0,1
2016,PIT,NL,Field Out,448954,515,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,SD,NL,Single,448955,236,1,2,2,1,0,1,2,1,0,1,1,1,0,0
2016,SD,NL,Stolen Base 2B,448955,266,1,1,2,1,0,0,2,0,1,0,0,0,1,0
2016,SD,NL,Single,448955,574,3,2,2,1,0,0,2,1,0,1,1,0,0,0
2016,STL,NL,Walk,448957,104,3,2,0,1,0,0,0,1,1,0,1,0,0,0
2016,STL,NL,Stolen Base 2B,448957,154,2,2,1,1,0,1,1,0,1,1,0,0,1,0
2016,STL,NL,Stolen Base 3B,448957,175,0,2,2,0,1,0,2,0,0,1,0,0,1,0
2016,STL,NL,Stolen Base 2B,448957,267,0,1,2,1,0,1,2,0,1,1,0,0,1,0
2016,WSH,NL,Field Out,448958,30,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,WSH,NL,Caught Stealing 2B,448958,211,1,1,0,1,0,0,1,0,0,0,0,0,0,1
2016,WSH,NL,Defensive Indiff,448958,542,0,0,2,1,0,0,2,0,1,0,0,0,0,0
2016,PIT,NL,Field Out,448964,78,2,0,2,1,0,0,3,0,0,0,1,0,0,0
2016,PIT,NL,Stolen Base 2B,448964,420,0,0,1,1,0,0,1,0,1,0,0,0,1,0
2016,SD,NL,Field Out,448966,76,3,2,1,1,0,0,2,1,0,0,1,0,0,0
2016,SD,NL,Double Play,448966,323,0,0,0,1,0,0,2,0,0,0,1,0,0,0
2016,SD,NL,Single,448966,508,3,2,2,1,0,0,2,1,0,1,1,0,0,0
2016,MIA,NL,Strikeout,448968,37,1,2,2,1,0,1,3,0,0,0,1,0,0,0
2016,MIA,NL,Strikeout,448968,217,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,MIA,NL,Walk,448968,324,3,0,1,1,0,0,1,1,1,0,1,0,0,0
2016,MIA,NL,Stolen Base 3B,448968,338,0,0,2,1,1,0,2,1,0,1,0,0,1,0
2016,MIA,NL,Defensive Indiff,448968,607,0,0,2,1,0,1,2,0,1,1,0,0,0,0
2016,STL,NL,Caught Stealing 2B,448969,286,0,2,2,1,0,0,3,0,0,0,0,0,0,1
2016,ATL,NL,Single,448970,387,2,0,0,1,0,0,0,1,0,1,1,0,0,0
2016,ATL,NL,Stolen Base 2B,448970,472,1,0,2,1,0,0,2,0,1,0,0,0,1,0
2016,ARI,NL,Stolen Base 2B,448972,533,0,0,2,1,0,0,2,0,1,0,0,0,1,0
